sku,vol,mean,std,cv,cum_vol,abc,xyz,segment
7405571,872.0,6.2285714,14.875185,2.3882177,0.34745073,A,X,AX
6341164,871.0,6.2214284,5.776494,0.92848355,0.34786576,A,X,AX
7466466,870.0,6.214286,7.1678596,1.1534486,0.3482803,A,X,AX
6239368,869.0,6.207143,7.8927126,1.2715533,0.34869438,A,X,AX
6842112,866.0,6.1857142,7.447259,1.2039449,0.34910703,A,X,AX
7407213,865.0,6.178571,11.686719,1.8914921,0.34951916,A,X,AX
6981852,864.0,6.1714287,6.3878736,1.0350721,0.34993085,A,X,AX
6884882,862.0,6.1571426,10.5634575,1.7156428,0.3503416,A,X,AX
7112672,854.0,6.1,6.7677827,1.1094726,0.3507485,A,X,AX
6275396,853.0,6.0928574,10.130015,1.662605,0.35115495,A,X,AX
80828,846.0,6.042857,8.168963,1.3518379,0.35155806,A,X,AX
4059729375759,846.0,6.042857,11.487166,1.9009495,0.35196117,A,X,AX
6259762,844.0,6.0285716,8.571278,1.4217758,0.35236335,A,X,AX
7097642,837.0,5.9785714,6.7775207,1.1336355,0.35276216,A,X,AX
ER35104,833.0,5.95,8.249984,1.386552,0.35315907,A,X,AX
3600523299850,831.0,5.9357142,7.2123103,1.2150704,0.35355502,A,X,AX
4059729198624,830.0,5.928571,8.885881,1.4988234,0.35395053,A,X,AX
8051417821308,829.0,5.9214287,6.5591583,1.1076986,0.35434553,A,X,AX
6875203,827.0,5.9071426,12.250324,2.0738156,0.35473958,A,X,AX
3600531411145,825.0,5.892857,7.439634,1.2624834,0.3551327,A,X,AX
4059729323965,824.0,5.885714,8.43433,1.4330173,0.3555253,A,X,AX
7277186,823.0,5.8785715,8.309194,1.4134716,0.35591745,A,X,AX
6907188,821.0,5.864286,8.962119,1.5282542,0.35630867,A,X,AX
6384784,820.0,5.857143,7.3861346,1.2610474,0.35669938,A,X,AX
3574661588780,815.0,5.821429,9.669553,1.6610274,0.35708773,A,X,AX
UPT00849,807.0,5.7642856,6.0532537,1.0501307,0.35747224,A,X,AX
P0787404,806.0,5.757143,5.47837,0.9515779,0.3578563,A,X,AX
6923680,805.0,5.75,5.9881477,1.041417,0.35823986,A,X,AX
3600542223638,804.0,5.742857,13.795198,2.402149,0.35862297,A,X,AX
7294611,804.0,5.742857,7.6331077,1.3291482,0.35900608,A,X,AX
6330696,804.0,5.742857,7.460564,1.2991033,0.35938916,A,X,AX
6457333,804.0,5.742857,5.648418,0.9835554,0.35977226,A,X,AX
3600541996601,800.0,5.714286,9.276167,1.6233292,0.36015344,A,X,AX
7119644,799.0,5.707143,5.6536694,0.99063045,0.36053416,A,X,AX
6031955,798.0,5.7,5.5082674,0.9663627,0.3609144,A,X,AX
6954933,795.0,5.678571,9.37183,1.6503853,0.3612932,A,X,AX
6951111,793.0,5.6642857,5.4898343,0.9692015,0.36167106,A,X,AX
6964528,793.0,5.6642857,8.018514,1.4156266,0.36204892,A,X,AX
8429979475121,791.0,5.65,8.751506,1.5489391,0.36242583,A,X,AX
6063388,791.0,5.65,9.877615,1.7482504,0.3628027,A,X,AX
6811570,789.0,5.635714,16.84812,2.989527,0.36317867,A,X,AX
6392027,787.0,5.6214285,6.6435103,1.1818188,0.36355367,A,X,AX
6093435,786.0,5.614286,6.917381,1.2321033,0.3639282,A,X,AX
6934653,786.0,5.614286,10.940378,1.9486678,0.36430272,A,X,AX
6924290,784.0,5.6,10.90957,1.9481375,0.36467627,A,X,AX
6890368,783.0,5.5928574,9.014693,1.6118225,0.36504936,A,X,AX
6899591,781.0,5.5785713,9.930744,1.780159,0.3654215,A,X,AX
7471896,779.0,5.5642858,7.740588,1.3911198,0.3657927,A,X,AX
6287789,779.0,5.5642858,6.3031464,1.1327863,0.36616388,A,X,AX
6504332,778.0,5.5571427,9.714094,1.7480376,0.3665346,A,X,AX
BOJ0005,777.0,5.55,9.606147,1.7308372,0.36690482,A,X,AX
6079251,777.0,5.55,7.0111165,1.2632642,0.36727506,A,X,AX
6618942,776.0,5.542857,8.215069,1.4821,0.36764482,A,X,AX
7260026,775.0,5.535714,6.229901,1.1254015,0.36801407,A,X,AX
6334508,774.0,5.5285716,5.5040116,0.9955576,0.36838287,A,X,AX
6047878,773.0,5.5214286,5.278527,0.9560074,0.3687512,A,X,AX
7097923,773.0,5.5214286,7.366527,1.3341705,0.36911952,A,X,AX
7114744,772.0,5.5142856,11.705305,2.1227238,0.36948738,A,X,AX
6583856,769.0,5.492857,4.795826,0.8731023,0.3698538,A,X,AX
7074393,766.0,5.4714284,6.737037,1.2313123,0.37021878,A,X,AX
4250587771855,765.0,5.464286,7.8193736,1.4309964,0.3705833,A,X,AX
2015000,764.0,5.457143,5.3595495,0.9821164,0.37094733,A,X,AX
6865071,762.0,5.4428573,10.007387,1.8386276,0.37131044,A,X,AX
6940296,760.0,5.428571,7.097616,1.3074557,0.37167257,A,X,AX
4250947544662,759.0,5.4214287,7.2171535,1.3312272,0.37203422,A,X,AX
6050674,758.0,5.4142857,7.6242566,1.408174,0.3723954,A,X,AX
6994137,754.0,5.385714,8.943939,1.6606784,0.37275466,A,X,AX
85071-05100-48,753.0,5.3785715,6.096901,1.133554,0.37311345,A,X,AX
6878330,752.0,5.3714285,5.490794,1.0222223,0.3734718,A,X,AX
7061648,752.0,5.3714285,14.224481,2.6481745,0.3738301,A,X,AX
2207,751.0,5.364286,6.5735583,1.2254303,0.37418795,A,X,AX
4059729198631,749.0,5.35,8.435899,1.5768036,0.37454483,A,X,AX
6236455,746.0,5.3285713,10.819941,2.030552,0.37490028,A,X,AX
6876607,746.0,5.3285713,10.072001,1.890188,0.37525576,A,X,AX
6908368,743.0,5.3071427,6.460613,1.217343,0.3756098,A,X,AX
6826818,743.0,5.3071427,8.848766,1.6673315,0.3759638,A,X,AX
6334938,742.0,5.3,9.252416,1.7457387,0.37631738,A,X,AX
